"child_id","response_id","time","time_stamp","list","age","sex","lp","doe_catalan","doe_spanish","edu_parent"
"56346","1529",2,2020-11-25,"bvq-lockdown",25.5934291581109,"male","Monolingual",0.8,0.2,"University"
"56346","1138",1,2020-10-31,"bvq-short",24.7720739219713,"male","Monolingual",0.95,0.04,"University"
"56348","1150",1,2020-06-02,"bvq-short",19.6139630390144,"male","Monolingual",0.95,0.05,"Vocational"
"56352","1693",3,2021-05-08,"bvq-lockdown",30.7843942505133,"male","Bilingual",0.5,0.4,"University"
"56363","1550",2,2020-12-08,"bvq-lockdown",25.7577002053388,"female","Monolingual",0.95,0.05,"University"
"56366","1684",2,2021-04-29,"bvq-lockdown",30.4558521560575,"female","Bilingual",0.3,0.7,"University"
"56368","1414",1,2020-07-13,"bvq-short",20.829568788501,"male","Bilingual",0.5,0.5,"University"
"56371","1667",4,2021-03-22,"bvq-lockdown",29.1088295687885,"female","Monolingual",0.98,0.02,"University"
"56371","1567",3,2020-12-11,"bvq-lockdown",25.7905544147844,"female","Monolingual",0.95,0.05,"University"
"56371","1134",2,2020-05-28,"bvq-short",19.3182751540041,"female","Monolingual",0.85,0.15,"University"
"56374","1415",1,2020-07-14,"bvq-short",20.7638603696099,"female","Bilingual",0.4,0.6,"University"
"56381","1136",1,2020-05-28,"bvq-short",19.1540041067762,"male","Monolingual",1,0,"Vocational"
"56382","1540",2,2020-12-09,"bvq-lockdown",25.5605749486653,"female","Bilingual",0.5,0.5,"University"
"56382","946",1,2020-05-07,"bvq-short",18.4640657084189,"female","Monolingual",0,1,"Vocational"
"56383","698",1,2020-04-02,"bvq-short",17.2813141683778,"male","Monolingual",0.1,0.8,"Vocational"
"56388","681",1,2020-04-05,"bvq-short",17.3798767967146,"male","Monolingual",1,0,"University"
"56394","1162",1,2020-06-03,"bvq-short",19.2854209445585,"male","Monolingual",0.2,0.8,"University"
"56398","914",1,2020-05-07,"bvq-short",18.3983572895277,"female","Bilingual",0.4,0.6,"University"
"56399","1541",2,2020-11-30,"bvq-lockdown",25.1991786447639,"female","Monolingual",0.95,0.05,"University"
"56399","1004",1,2020-05-23,"bvq-short",18.9240246406571,"female","Monolingual",0.95,0.05,"University"
"56405","694",1,2020-04-02,"bvq-short",17.1827515400411,"male","Bilingual",0.6,0.3,"University"
"56415","1011",1,2020-06-16,"bvq-short",19.5482546201232,"male","Monolingual",1,0,"University"
"56431","1002",1,2020-05-17,"bvq-short",18.5626283367556,"female","Bilingual",0.75,0.25,"University"
"56444","1007",1,2020-05-20,"bvq-short",18.4312114989733,"female","Monolingual",0.8,0.2,"University"
"56450","1542",2,2020-11-26,"bvq-lockdown",24.6406570841889,"female","Bilingual",0.6,0.4,"University"
"56458","1175",2,2020-05-29,"bvq-short",18.5626283367556,"male","Bilingual",0.6,0.4,"Vocational"
"56464","691",1,2020-05-25,"bvq-short",18.4312114989733,"female","Monolingual",0.05,0.95,"University"
"56465","1551",2,2020-12-03,"bvq-lockdown",24.7720739219713,"male","Bilingual",0.3,0.7,"University"
"56465","1176",1,2020-07-01,"bvq-short",19.6796714579055,"male","Monolingual",0.2,0.8,"University"
"56470","679",1,2020-04-08,"bvq-short",16.8542094455852,"male","Monolingual",1,0,"University"
"56476","1313",1,2020-06-11,"bvq-short",18.8911704312115,"male","Bilingual",0.5,0.5,"No education"
"56477","692",1,2020-04-01,"bvq-short",16.5256673511294,"male","Bilingual",0.6,0.4,"University"
"56481","1314",1,2020-07-02,"bvq-short",19.5811088295688,"female","Monolingual",0.2,0.8,"Vocational"
"56485","729",1,2020-04-18,"bvq-short",20.829568788501,"female","Monolingual",0.8,0.2,"University"
"56514","808",1,2020-04-14,"bvq-short",27.006160164271,"female","Bilingual",0.75,0.25,"University"
"56517","1145",1,2020-05-30,"bvq-short",18.2669404517454,"female","Bilingual",0.5,0.5,"University"
"56518","701",1,2020-04-06,"bvq-short",16.4599589322382,"female","Bilingual",0.5,0.5,"University"
"56521","1543",2,2020-11-25,"bvq-lockdown",24.1478439425051,"female","Bilingual",0.25,0.75,"No education"
"56521","1316",1,2020-06-12,"bvq-short",18.694045174538,"female","Bilingual",0.65,0.35,"Vocational"
"56522","690",1,2020-04-02,"bvq-short",16.3285420944559,"male","Bilingual",0.4,0.6,"University"
"56523","1549",2,2020-11-26,"bvq-lockdown",24.082135523614,"male","Bilingual",0.5,0.4,"Vocational"
"56523","1160",1,2020-05-28,"bvq-short",18.1026694045175,"male","Bilingual",0.65,0.35,"Vocational"
"56527","680",1,2020-04-07,"bvq-short",16.3613963039014,"female","Monolingual",1,0,"University"
"56528","1569",2,2020-12-12,"bvq-lockdown",24.5420944558522,"male","Bilingual",0.7,0.3,"University"
"56528","700",1,2020-04-16,"bvq-short",16.6570841889117,"male","Bilingual",0.6,0.4,"University"
"56540","1159",1,2020-05-31,"bvq-short",18.1026694045175,"male","Bilingual",0.5,0.4,"University"
"56550","908",1,2020-05-12,"bvq-short",17.3141683778234,"female","Monolingual",0,1,"University"
"56559","1417",1,2020-07-16,"bvq-short",19.4168377823409,"male","Bilingual",0.4,0.6,"Vocational"
"56563","1001",1,2020-06-01,"bvq-short",17.8726899383984,"female","Bilingual",0.4,0.6,"Secondary"
"56570","906",1,2020-06-21,"bvq-short",18.4312114989733,"female","Bilingual",0.3,0.7,"University"
"56578","905",1,2020-06-29,"bvq-short",18.6283367556468,"female","Bilingual",0.4,0.6,"Vocational"
"56618","1419",1,2020-07-13,"bvq-short",18.7926078028747,"male","Bilingual",0.5,0.5,"Vocational"
"56620","904",1,2020-04-30,"bvq-short",16.3285420944559,"female","Bilingual",0.4,0.6,"Vocational"
"56622","991",1,2020-05-23,"bvq-short",17.0841889117043,"male","Monolingual",1,0,"University"
"56628","1217",1,2020-06-03,"bvq-short",16.9856262833676,"female","Bilingual",0.6,0.4,"Vocational"
"56632","1421",1,2020-07-13,"bvq-short",18.2669404517454,"female","Bilingual",0.7,0.3,"University"
"56635","1422",1,2020-07-23,"bvq-short",18.5626283367556,NA,"Monolingual",0.8,0.2,"University"
"56638","996",1,2020-05-31,"bvq-short",16.8542094455852,"female","Monolingual",1,0,"University"
"56684","995",1,2020-05-15,"bvq-short",16.1642710472279,"male","Monolingual",0.85,0.15,"University"
"56695","1426",1,2020-07-13,"bvq-short",17.9712525667351,"female","Bilingual",0.4,0.6,"University"
"56697","990",1,2020-05-14,"bvq-short",16.0328542094456,"female","Monolingual",0.9,0.1,"University"
"56701","992",1,2020-05-14,"bvq-short",16.1314168377823,"female","Bilingual",0.7,0.3,"University"
"56711","994",1,2020-05-14,"bvq-short",16.1642710472279,"female","Monolingual",1,0,"University"
"56712","677",1,2020-03-31,"bvq-short",14.6858316221766,"male","Bilingual",0.3,0.7,"University"
"56720","671",1,2020-04-02,"bvq-short",14.5544147843943,"female","Bilingual",0.75,0.25,"University"
"56721","686",1,2020-04-02,"bvq-short",14.5544147843943,"male","Monolingual",0.8,0.2,"University"
"56732","672",1,2020-03-31,"bvq-short",14.4558521560575,"male","Bilingual",0.7,0.3,"University"
"56741","1245",1,2020-06-07,"bvq-short",16.6899383983573,"female","Monolingual",0.85,0.05,"University"
"56749","670",1,2020-04-28,"bvq-short",15.2772073921971,"male","Monolingual",0.9,0,"University"
"56750","685",1,2020-05-09,"bvq-short",15.6386036960986,"female","Bilingual",0.4,0.6,"University"
"56755","897",1,2020-04-29,"bvq-short",15.3429158110883,"male","Bilingual",0.4,0.6,"University"
"56762","1636",3,2021-02-13,"bvq-lockdown",24.7720739219713,"female","Bilingual",0.7,0.3,"University"
"56766","1643",3,2021-02-23,"bvq-lockdown",25.1006160164271,"female","Monolingual",0.9,0.1,"University"
"56766","1525",2,2020-11-19,"bvq-lockdown",21.9466119096509,"female","Bilingual",0.7,0.3,"University"
"56766","674",1,2020-04-05,"bvq-short",14.4558521560575,"female","Bilingual",0.7,0.3,"University"
"56772","1526",1,2020-11-27,"bvq-lockdown",22.1108829568789,"female","Bilingual",0.5,0.5,"University"
"56788","1247",1,2020-06-06,"bvq-short",16.2628336755647,"female","Monolingual",0.8,0.2,"University"
"56809","890",1,2020-05-07,"bvq-short",15.211498973306,"female","Monolingual",0.05,0.95,"University"
"56823","1219",1,2020-06-17,"bvq-short",16.4599589322382,"female","Bilingual",0.3,0.7,"University"
"56824","1218",1,2020-06-03,"bvq-short",15.9671457905544,"female","Monolingual",0.2,0.8,"Secondary"
"56825","894",1,2020-04-30,"bvq-short",14.9158110882957,"female","Monolingual",0,1,"University"
"56826","1209",1,2020-06-04,"bvq-short",16.0328542094456,"female","Bilingual",0.3,0.7,"University"
"56827","970",1,2020-05-11,"bvq-short",15.2772073921971,"male","Monolingual",0.8,0.1,"University"
"56828","1220",1,2020-06-03,"bvq-short",16.0328542094456,"male","Monolingual",0.2,0.8,"Secondary"
"56829","900",1,2020-05-08,"bvq-short",15.1129363449692,"male","Monolingual",0.2,0.8,"Vocational"
"56859","982",1,2020-05-14,"bvq-short",15.2443531827515,"male","Monolingual",1,0,"University"
